order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
VIRTUAL-00030,,,,VIRTUAL_PC,PC,1354.7,1.783,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,60,1355.0,2.0,DP,0.2999999999999545,False,False,False,True,False,False,60,60,60,60,60,大辊线,False,False,False
VIRTUAL-00031,,,,VIRTUAL_PC,PC,1354.3,1.567,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,61,1354.7,1.783,PC,0.40000000000009095,False,False,False,False,False,False,61,61,61,61,61,大辊线,False,False,False
VIRTUAL-00032,,,,VIRTUAL_PC,PC,1354.0,1.35,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,62,1354.3,1.567,PC,0.2999999999999545,False,False,False,False,False,False,62,62,62,62,62,大辊线,False,False,False
VIRTUAL-00033,,,,VIRTUAL_PC,PC,1353.7,1.133,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,63,1354.0,1.35,PC,0.2999999999999545,False,False,False,False,False,False,63,63,63,63,63,大辊线,False,False,False
VIRTUAL-00034,,,,VIRTUAL_PC,PC,1353.3,0.917,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,64,1353.7,1.133,PC,0.40000000000009095,False,False,False,False,False,False,64,64,64,64,64,大辊线,False,False,False
0030084062-000010#M0396-L01,0030084062-000010,0030084062-000010,0030084062-000010-L01,HC180Y,BH,1353.0,0.7,24.0,130.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,65,1353.3,0.917,PC,0.2999999999999545,False,False,False,True,False,False,65,65,65,65,65,大辊线,False,False,False
VIRTUAL-00035,,,,VIRTUAL_PC,PC,1352.5,0.75,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,66,1353.0,0.7,BH,0.5,False,False,False,True,False,False,66,66,66,66,66,大辊线,False,False,False
0030084752-000070#M0209-L01,0030084752-000070,0030084752-000070,0030084752-000070-L01,HC340/590DP,DP,1352.0,0.8,24.0,52.0,2025-11-30,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,67,1352.5,0.75,PC,0.5,False,False,False,True,False,False,67,67,67,67,67,大辊线,False,False,False
VIRTUAL-00036,,,,VIRTUAL_PC,PC,1351.0,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,68,1352.0,0.8,DP,1.0,False,False,False,True,False,False,68,68,68,68,68,大辊线,False,False,False
0030082156-000180#M0638-L01,0030082156-000180,0030082156-000180,0030082156-000180-L01,HC340/590DP,DP,1350.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,69,1351.0,1.0,PC,1.0,False,False,False,True,False,False,69,69,69,69,69,大辊线,False,False,False
VIRTUAL-00037,,,,VIRTUAL_PC,PC,1350.0,1.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,70,1350.0,1.2,DP,0.0,False,False,False,True,False,False,70,70,70,70,70,大辊线,False,False,False
0030084750-000040#M0229-L01,0030084750-000040,0030084750-000040,0030084750-000040-L01,HC340/590DP,DP,1350.0,1.8,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,71,1350.0,1.5,PC,0.0,False,False,False,True,False,False,71,71,71,71,71,大辊线,False,False,False
VIRTUAL-00038,,,,VIRTUAL_PC,PC,1350.0,1.4,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,72,1350.0,1.8,DP,0.0,False,False,False,True,False,False,72,72,72,72,72,大辊线,False,False,False
0030082156-000060#M0636-L01,0030082156-000060,0030082156-000060,0030082156-000060-L01,HC340/590DP,DP,1350.0,1.0,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,73,1350.0,1.4,PC,0.0,False,False,False,True,False,False,73,73,73,73,73,大辊线,False,False,False
VIRTUAL-00039,,,,VIRTUAL_PC,PC,1345.0,0.85,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,74,1350.0,1.0,DP,5.0,False,False,False,True,False,False,74,74,74,74,74,大辊线,False,False,False
0030085350-000100#M0079-L01,0030085350-000100,0030085350-000100,0030085350-000100-L01,HC180Y,BH,1340.0,0.7,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.20833333333333334,0.2631578947368421,0.20833333333333334,False,False,1,75,1345.0,0.85,PC,5.0,False,False,False,True,False,False,75,75,75,75,75,大辊线,False,False,False
