order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0030081238-000050,0030081238-000050,0030081238-000050,0030081238-000050,T1500HS,热成型钢,1600.0,1.4,782.5,24.0,104.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,40,1600.0,1.4,热成型钢,782.5,0.0,False,False,False,False,False,False,40,40,40,40,40,小辊线,False,False,False,False
0030081238-000060,0030081238-000060,0030081238-000060,0030081238-000060,T1500HS,热成型钢,1600.0,1.2,782.5,24.0,312.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,41,1600.0,1.4,热成型钢,782.5,0.0,False,False,False,False,False,False,41,41,41,41,41,小辊线,False,False,False,False
0030081403-000060,0030081403-000060,0030081403-000060,0030081403-000060,T1500HS,热成型钢,1599.0,1.2,782.5,24.0,104.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,42,1600.0,1.2,热成型钢,782.5,1.0,False,False,False,False,False,False,42,42,42,42,42,小辊线,False,False,False,False
0030085399-000070,0030085399-000070,0030085399-000070,0030085399-000070,T1500HS,热成型钢,1599.0,1.5,782.5,24.0,104.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,43,1599.0,1.2,热成型钢,782.5,0.0,False,False,False,False,False,False,43,43,43,43,43,小辊线,False,False,False,False
0030081238-000040,0030081238-000040,0030081238-000040,0030081238-000040,T1500HS,热成型钢,1590.0,1.4,782.5,24.0,806.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,44,1599.0,1.5,热成型钢,782.5,9.0,False,False,False,False,False,False,44,44,44,44,44,小辊线,False,False,False,False
0030085363-000020,0030085363-000020,0030085363-000020,0030085363-000020,T1500HS,热成型钢,1568.0,1.6,782.5,24.0,234.0,2025-12-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,45,1590.0,1.4,热成型钢,782.5,22.0,False,False,False,False,False,False,45,45,45,45,45,小辊线,False,False,False,False
0030085346-000010,0030085346-000010,0030085346-000010,0030085346-000010,T1500HS,热成型钢,1563.0,1.4,782.5,24.0,676.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,46,1568.0,1.6,热成型钢,782.5,5.0,False,False,False,False,False,False,46,46,46,46,46,小辊线,False,False,False,False
0030081403-000040,0030081403-000040,0030081403-000040,0030081403-000040,T1500HS,热成型钢,1558.0,1.2,782.5,24.0,104.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,47,1563.0,1.4,热成型钢,782.5,5.0,False,False,False,False,False,False,47,47,47,47,47,小辊线,False,False,False,False
0030085364-000030,0030085364-000030,0030085364-000030,0030085364-000030,T1500HS,热成型钢,1500.0,1.2,782.5,24.0,78.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,48,1558.0,1.2,热成型钢,782.5,58.0,False,False,False,False,False,False,48,48,48,48,48,小辊线,False,False,False,False
0030081403-000050,0030081403-000050,0030081403-000050,0030081403-000050,T1500HS,热成型钢,1455.0,1.2,782.5,24.0,104.0,2025-10-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,49,1500.0,1.2,热成型钢,782.5,45.0,False,False,False,False,False,False,49,49,49,49,49,小辊线,False,False,False,False
0030085399-000050,0030085399-000050,0030085399-000050,0030085399-000050,T1500HS,热成型钢,1455.0,1.4,782.5,24.0,104.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,50,1455.0,1.2,热成型钢,782.5,0.0,False,False,False,False,False,False,50,50,50,50,50,小辊线,False,False,False,False
0030085399-000030,0030085399-000030,0030085399-000030,0030085399-000030,T1500HS,热成型钢,1375.0,1.4,782.5,24.0,104.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,51,1455.0,1.4,热成型钢,782.5,80.0,False,False,False,False,False,False,51,51,51,51,51,小辊线,False,False,False,False
0030085363-000010,0030085363-000010,0030085363-000010,0030085363-000010,T1500HS,热成型钢,1372.0,1.4,782.5,24.0,78.0,2025-12-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,52,1375.0,1.4,热成型钢,782.5,3.0,False,False,False,False,False,False,52,52,52,52,52,小辊线,False,False,False,False
0030085175-000190,0030085175-000190,0030085175-000190,0030085175-000190,T1500HS,热成型钢,1335.0,1.2,782.5,22.5,75.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.1875,0.23684210526315788,0.23684210526315788,False,False,1,53,1372.0,1.4,热成型钢,782.5,37.0,False,False,False,False,False,False,53,53,53,53,53,小辊线,False,False,False,False
VIRTUAL-00008,,,,VIRTUAL_PC,PC,1250.0,0.9,790.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,54,1335.0,1.2,热成型钢,782.5,85.0,False,False,False,True,False,False,54,54,54,54,54,小辊线,False,False,False,False
0030085350-000190,0030085350-000190,0030085350-000190,0030085350-000190,HC300LA,低合金高强,1230.0,0.7,790.0,21.5,120.0,2025-10-31,小辊,small_only,1,overdue,0,small_roll,small_only,0.19907407407407407,0.25146198830409355,0.25146198830409355,False,False,1,55,1250.0,0.9,PC,790.0,20.0,False,False,False,True,False,False,55,55,55,55,55,小辊线,False,False,False,False
0030085323-000020,0030085323-000020,0030085323-000020,0030085323-000020,HC340LA,低合金高强,1194.0,0.7,800.0,21.5,72.0,2025-10-31,小辊,small_only,1,overdue,0,small_roll,small_only,0.19907407407407407,0.25146198830409355,0.25146198830409355,False,False,1,56,1230.0,0.7,低合金高强,790.0,36.0,False,False,False,False,False,False,56,56,56,56,56,小辊线,False,False,False,False
0030085323-000010,0030085323-000010,0030085323-000010,0030085323-000010,HC340LA,低合金高强,1134.0,0.7,800.0,21.5,88.0,2025-10-31,小辊,small_only,1,overdue,0,small_roll,small_only,0.19907407407407407,0.25146198830409355,0.25146198830409355,False,False,1,57,1194.0,0.7,低合金高强,800.0,60.0,False,False,False,False,False,False,57,57,57,57,57,小辊线,False,False,False,False
VIRTUAL-00009,,,,VIRTUAL_PC,PC,1000.0,0.8,800.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,58,1134.0,0.7,低合金高强,800.0,134.0,False,False,False,True,False,False,58,58,58,58,58,小辊线,False,False,False,False
0020049280-000020,0020049280-000020,0020049280-000020,0020049280-000020,DC01,普碳,919.0,0.9,810.0,18.5,84.8,2025-11-15,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.1712962962962963,0.21637426900584794,0.21637426900584794,False,False,1,59,1000.0,0.8,PC,800.0,81.0,False,False,False,True,False,False,59,59,59,59,59,小辊线,False,False,False,False
