order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
VIRTUAL-00034,,,,VIRTUAL_PC,PC,1371.2,0.72,824.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,53,1374.0,0.6,IF钢,830.0,2.7999999999999545,False,False,False,True,False,False,53,53,53,53,53,大辊线,False,False,False,False
VIRTUAL-00035,,,,VIRTUAL_PC,PC,1368.4,0.84,818.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,54,1371.2,0.72,PC,824.0,2.7999999999999545,False,False,False,False,False,False,54,54,54,54,54,大辊线,False,False,False,False
VIRTUAL-00036,,,,VIRTUAL_PC,PC,1365.6,0.96,812.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,55,1368.4,0.84,PC,818.0,2.800000000000182,False,False,False,False,False,False,55,55,55,55,55,大辊线,False,False,False,False
VIRTUAL-00037,,,,VIRTUAL_PC,PC,1362.8,1.08,806.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,56,1365.6,0.96,PC,812.0,2.7999999999999545,False,False,False,False,False,False,56,56,56,56,56,大辊线,False,False,False,False
0030085175-000080,0030085175-000080,0030085175-000080,0030085175-000080,HC340/590DP,双相钢,1360.0,1.2,800.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,57,1362.8,1.08,PC,806.0,2.7999999999999545,False,False,False,True,False,False,57,57,57,57,57,大辊线,False,False,False,False
0030084911-000010,0030084911-000010,0030084911-000010,0030084911-000010,HC340/590DP,双相钢,1360.0,1.0,800.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,58,1360.0,1.2,双相钢,800.0,0.0,False,False,False,False,False,False,58,58,58,58,58,大辊线,False,False,False,False
VIRTUAL-00038,,,,VIRTUAL_PC,PC,1358.8,1.25,795.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,59,1360.0,1.0,双相钢,800.0,1.2000000000000455,False,False,False,True,False,False,59,59,59,59,59,大辊线,False,False,False,False
VIRTUAL-00039,,,,VIRTUAL_PC,PC,1357.5,1.5,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,60,1358.8,1.25,PC,795.0,1.2999999999999545,False,False,False,False,False,False,60,60,60,60,60,大辊线,False,False,False,False
VIRTUAL-00040,,,,VIRTUAL_PC,PC,1356.2,1.75,785.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,61,1357.5,1.5,PC,790.0,1.2999999999999545,False,False,False,False,False,False,61,61,61,61,61,大辊线,False,False,False,False
0030082156-000440,0030082156-000440,0030082156-000440,0030082156-000440,HC340/590DP,双相钢,1355.0,2.0,780.0,24.0,78.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,62,1356.2,1.75,PC,785.0,1.2000000000000455,False,False,False,True,False,False,62,62,62,62,62,大辊线,False,False,False,False
VIRTUAL-00041,,,,VIRTUAL_PC,PC,1354.7,1.783,788.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,63,1355.0,2.0,双相钢,780.0,0.2999999999999545,False,False,False,True,False,False,63,63,63,63,63,大辊线,False,False,False,False
VIRTUAL-00042,,,,VIRTUAL_PC,PC,1354.3,1.567,796.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,64,1354.7,1.783,PC,788.3333333333334,0.40000000000009095,False,False,False,False,False,False,64,64,64,64,64,大辊线,False,False,False,False
VIRTUAL-00043,,,,VIRTUAL_PC,PC,1354.0,1.35,805.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,65,1354.3,1.567,PC,796.6666666666666,0.2999999999999545,False,False,False,False,False,False,65,65,65,65,65,大辊线,False,False,False,False
VIRTUAL-00044,,,,VIRTUAL_PC,PC,1353.7,1.133,813.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,66,1354.0,1.35,PC,805.0,0.2999999999999545,False,False,False,False,False,False,66,66,66,66,66,大辊线,False,False,False,False
VIRTUAL-00045,,,,VIRTUAL_PC,PC,1353.3,0.917,821.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,67,1353.7,1.133,PC,813.3333333333334,0.40000000000009095,False,False,False,False,False,False,67,67,67,67,67,大辊线,False,False,False,False
0030084062-000010,0030084062-000010,0030084062-000010,0030084062-000010,HC180Y,加磷高强、烘烤硬化钢,1353.0,0.7,830.0,24.0,130.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,68,1353.3,0.917,PC,821.6666666666666,0.2999999999999545,False,False,False,True,False,False,68,68,68,68,68,大辊线,False,False,False,False
VIRTUAL-00046,,,,VIRTUAL_PC,PC,1347.5,1.0,796.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,69,1353.0,0.7,加磷高强、烘烤硬化钢,830.0,5.5,False,False,True,True,False,True,69,69,69,69,69,大辊线,False,False,False,False
VIRTUAL-00047,,,,VIRTUAL_PC,PC,1343.0,1.2,793.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,70,1347.5,1.0,PC,796.6666666666666,4.5,False,False,False,False,False,False,70,70,70,70,70,大辊线,False,False,False,False
VIRTUAL-00048,,,,VIRTUAL_PC,PC,1338.5,1.4,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,71,1343.0,1.2,PC,793.3333333333334,4.5,False,False,False,False,False,False,71,71,71,71,71,大辊线,False,False,False,False
VIRTUAL-00049,,,,VIRTUAL_PC,PC,1334.0,1.6,786.6666666666666,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,72,1338.5,1.4,PC,790.0,4.5,False,False,False,False,False,False,72,72,72,72,72,大辊线,False,False,False,False
VIRTUAL-00050,,,,VIRTUAL_PC,PC,1329.5,1.8,783.3333333333334,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,73,1334.0,1.6,PC,786.6666666666666,4.5,False,False,False,False,False,False,73,73,73,73,73,大辊线,False,False,False,False
0030082156-000430,0030082156-000430,0030082156-000430,0030082156-000430,HC340/590DP,双相钢,1325.0,2.0,780.0,22.5,75.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,74,1329.5,1.8,PC,783.3333333333334,4.5,False,False,False,True,False,False,74,74,74,74,74,大辊线,False,False,False,False
VIRTUAL-00051,,,,VIRTUAL_PC,PC,1315.0,0.925,830.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,75,1325.0,2.0,双相钢,780.0,10.0,False,False,True,True,False,True,75,75,75,75,75,大辊线,False,False,False,False
0030084950-000030,0030084950-000030,0030084950-000030,0030084950-000030,DC06,IF钢,1310.0,0.7,830.0,22.5,75.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.20833333333333334,0.2631578947368421,0.20833333333333334,False,False,1,76,1315.0,0.925,PC,830.0,5.0,False,False,False,True,False,False,76,76,76,76,76,大辊线,False,False,False,False
