order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030085341-000010#M113,0030085341-000010,DC05,IF,1374.0,0.6,835.0,24.0,182.0,2025-11-30,大辊,big_only,2.0,835.0,835.0,big_roll,2025-11-30,1,1327.0,False,47,1360.0,1.2,DP,-14.0,True,False,True,False,True,True,31,31,31,大轧线,31
0030084950-000030#M234,0030084950-000030,DC06,IF,1310.0,0.7,840.0,22.5,75.0,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,48,1374.0,0.6,IF,64.0,False,False,False,False,False,False,32,32,32,大轧线,32
0030084752-000010#M224,0030084752-000010,DC06,IF,1283.0,0.65,840.0,22.5,75.0,2025-11-30,大辊,big_only,2.0,840.0,840.0,big_roll,2025-11-30,1,1327.0,False,49,1310.0,0.7,IF,27.0,False,False,False,False,False,False,33,33,33,大轧线,33
0030083932-000030#M435,0030083932-000030,DC06,IF,1240.0,0.8,840.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,50,1283.0,0.65,IF,43.0,False,False,False,False,False,False,34,34,34,大轧线,34
0030082941-000040#M589,0030082941-000040,DC05,IF,1250.0,2.3,835.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,52,1240.0,0.8,IF,-10.0,True,False,True,False,False,False,35,35,35,大轧线,35
0030085175-000160#M151,0030085175-000160,HC340/590DP,DP,1250.0,2.0,840.0,21.5,72.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,54,1250.0,2.3,IF,0.0,False,False,False,False,True,True,36,36,36,大轧线,36
0030083988-000070#M411,0030083988-000070,DC03,IF钢,1262.0,1.95,815.0,22.5,75.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,1,1327.0,False,56,1250.0,2.0,DP,-12.0,True,False,False,False,True,True,37,37,37,大轧线,37
0030086415-000010#M13,0030086415-000010,HC180Y,BH,1320.0,1.15,835.0,22.5,100.0,2025-11-30,大辊,big_only,3.0,835.0,835.0,big_roll,2025-11-30,1,1327.0,False,58,1262.0,1.95,IF钢,-58.0,True,False,True,False,True,True,38,38,38,大轧线,38
0030084637-000010#M261,0030084637-000010,DC05,IF,1250.0,0.6,835.0,21.5,84.7,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,60,1320.0,1.15,BH,70.0,False,False,True,False,True,True,39,39,39,大轧线,39
0030085341-000030#M107,0030085341-000030,DC04,IF,1174.0,0.6,830.0,21.5,120.0,2025-11-30,大辊,big_only,2.0,830.0,830.0,big_roll,2025-11-30,1,1327.0,False,62,1250.0,0.6,IF,76.0,False,False,False,False,False,False,40,40,40,大轧线,40
0030084950-000010#M236,0030084950-000010,DC04,IF,1140.0,0.7,830.0,21.5,174.62,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1327.0,False,63,1174.0,0.6,IF,34.0,False,False,False,False,False,False,41,41,41,大轧线,41
0030083377-000020#M552,0030083377-000020,DC04,IF,1230.0,0.7,830.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1327.0,False,65,1140.0,0.7,IF,-90.0,True,False,False,False,False,False,42,42,42,大轧线,42
0030084081-000010#M368,0030084081-000010,DC05,IF,1230.0,0.65,835.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,66,1230.0,0.7,IF,0.0,False,False,False,False,False,False,43,43,43,大轧线,43
0030085652-000010#M88,0030085652-000010,T280VK,DP,1228.0,1.4,840.0,21.5,144.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,1,1327.0,False,68,1230.0,0.65,IF,2.0,False,False,True,False,True,True,44,44,44,大轧线,44
0030084752-000030#M204,0030084752-000030,HC340/590DP,DP,1223.0,1.6,840.0,21.5,120.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,1,1327.0,False,69,1228.0,1.4,DP,5.0,False,False,False,False,False,False,45,45,45,大轧线,45
0030085386-000010#M170,0030085386-000010,HC340/590DP,DP,1189.0,1.4,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,70,1223.0,1.6,DP,34.0,False,False,False,False,False,False,46,46,46,大轧线,46
0030084752-000020#M233,0030084752-000020,HC340/590DP,DP,1198.0,1.4,840.0,21.5,72.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,1,1327.0,False,72,1189.0,1.4,DP,-9.0,True,False,False,False,False,False,47,47,47,大轧线,47
0030085175-000150#M163,0030085175-000150,HC340/590DP,DP,1200.0,2.0,840.0,21.5,72.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,74,1198.0,1.4,DP,-2.0,True,False,True,False,False,False,48,48,48,大轧线,48
0030082156-000390#M684,0030082156-000390,HC340/590DP,DP,1200.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,75,1200.0,2.0,DP,0.0,False,False,False,False,False,False,49,49,49,大轧线,49
0030082156-000380#M654,0030082156-000380,HC340/590DP,DP,1185.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,77,1200.0,2.0,DP,15.0,False,False,False,False,False,False,50,50,50,大轧线,50
